gene	tpm
YDL130W-A	158.8929
YDL131W	93.9894
YDL132W	88.5069
YDL133C-A	237.565
YDL133W	26.9345
YDL134C	108.9192
YDL135C	56.206
YDL136W	520.4064
YDL137W	129
YDL138W	12.842
YDL139C	13.39375
YDL140C	99.0369
YDL141W	24.6967
YDL142C	19.82928
YDL143W	197.4878
YDL144C	77.6643
YDL145C	133.2337
YDL146W	9.99427
YDL147W	246.9794
YDL148C	45.1334
YDL149W	14.4828
YDL150W	49.95406
YDL151C	6.96264
YDL152W	0
YDL153C	23.95372
YDL154W	4.1575
YDL155W	31.5406
YDL156W	4.87316
YDL157C	79.2893
YDL158C	0
YDL159C-B	0.0747052
YDL159W	23.5942
YDL159W-A	15.3384
YDL160C	110.512
YDL160C-A	24.66935
YDL161W	32.3508
YDL162C	0.947681
YDL163W	5.82309e-06
YDL164C	24.918416
YDL165W	61.8275
YDL166C	47.6181
YDL167C	48.542492
YDL168W	88.8133
YDL169C	14.84172
YDL170W	19.0166324
YDL171C	47.6351
YDL172C	16.2445
YDL173W	108.5
YDL174C	48.1931
YDL175C	20.00742661
YDL176W	11.45462
YDL177C	15.02142
YDL178W	44.52844
YDL179W	49.4113
YDL180W	21.7167000037003
YDL181W	53.0826
YDL182W	91.5738
YDL183C	12.11856
YDL184C	88.0939
YDL185C-A	2.2718
YDL185W	334.46800265322
YDL186W	3.80916
YDL187C	6.76646
YDL188C	48.332084
YDL189W	26.47520011211
YDL190C	42.5391
YDL191W	869.531
YDL192W	329.986
YDL193W	51.3909
YDL194W	18.5077
YDL195W	49.6154
YDL196W	0.645123
YDL197C	15.40474
YDL198C	35.208
YDL199C	7.85291
YDL200C	21.75437
YDL201W	88.1932
YDL202W	51.0943
YDL203C	23.78331
YDL204W	16.73402
YDL204W-A	0
YDL205C	62.6276
YDL206W	14.0843
YDL207W	26.7158000332163
YDL208W	204.0025
YDL209C	20.79704
YDL210W	4.2637
YDL211C	5.58249
YDL212W	183.118
YDL213C	47.4635
YDL214C	6.93067
YDL215C	48.45104
YDL216C	10.75887
YDL217C	34.8593
YDL218W	6.43864
YDL219W	42.14
YDL220C	9.19019
YDL221W	10.403
YDL222C	12.6409
YDL223C	22.7813
YDL224C	40.1029
YDL225W	39.34185
YDL226C	76.5834
YDL227C	3.85579
YDL228C	178.252
YDL229W	503.312
YDL230W	20.11990814
YDL231C	24.9708
YDL232W	81.9984
YDL233W	12.865
YDL234C	41.59382196
YDL235C	136.79092
YDL236W	84.6509
YDL237W	75.9749
YDL238C	14.9603
YDL239C	8.72272
YDL240C-A	14.5346
YDL240W	18.7399
YDL241W	14.67625
YDL242W	3.26857
YDL243C	15.32336
YDL244W	3.32463
YDL245C	5.88838
YDL246C	13.8956
YDL247W	15.6052
YDL247W-A	20.1899
YDL248W	7.03313
YDR001C	105.241
YDR002W	279.61
YDR003W	39.1123
YDR003W-A	20.8947
YDR004W	15.9344
YDR005C	25.45779
YDR006C	51.0831
YDR007W	62.3396
YDR008C	17.071
YDR009W	6.10419
YDR010C	18.41
YDR011W	140.606
YDR012W	323.428
YDR013W	29.3267
YDR014W	8.98386
YDR014W-A	3.86263
YDR015C	0.37249
YDR016C	34.57096
YDR017C	39.323
YDR018C	5.13132
YDR019C	137.6229
YDR020C	16.727339
YDR021W	25.197
YDR022C	20.96143
YDR023W	225.49
