"","logFC","logCPM","F","PValue","FDR"
"YBR181C",-1.86268192550823,10.2683624836707,148.408403434138,3.27176258254793e-07,8.20918053800753e-06
"YBR139W",1.42324430385066,7.89317345474883,148.342681396603,3.27842673243112e-07,8.20918053800753e-06
"YBR048W",-1.76378810309757,9.69059136588224,147.675287428819,3.34702563415691e-07,8.33925590838697e-06
"YJL200C",-0.907782362198304,7.91584426554834,146.780133727498,3.44177448289076e-07,8.53287455956284e-06
"YDR500C",-1.48698132419811,8.96425217352595,146.291669916208,3.49483931507494e-07,8.62175137433266e-06
"YMR116C",-2.38245560915328,11.0181002378799,145.347538591586,3.6002301630604e-07,8.83475562851554e-06
"YKL120W",-1.49947098824858,6.83590258880897,145.205118701733,3.61646346614554e-07,8.83475562851554e-06
"YNL155W",1.20860602414605,7.00085025874352,144.687770383719,3.67615968517423e-07,8.89712253590503e-06
"YER163C",1.03069085095843,6.3235675725265,144.676090115909,3.6775246903601e-07,8.89712253590503e-06
"YDR454C",-1.36329283081817,7.97075419022542,144.404453394044,3.70935368265668e-07,8.93098232824263e-06
"YMR170C",0.878595328955175,6.02037592557789,143.250660078722,3.84834014387863e-07,9.22128585671971e-06
"YGL062W",1.27545921262744,9.56478650555285,142.803958133926,3.90381809382876e-07,9.30967667328306e-06
"YML024W",-1.86768396460614,9.69356039519771,141.622371902756,4.05530461786538e-07,9.59947420798858e-06
"YKR043C",-0.947642124137895,7.74035009971591,141.558643922666,4.06367518389293e-07,9.59947420798858e-06
"YDR417C",-1.79747881237319,8.51892852064666,140.966393904941,4.14246409171789e-07,9.73965266259306e-06
"YHR064C",-1.29705394098884,9.96667209039782,140.800144079868,4.16491074030391e-07,9.74666962029999e-06
"YMR217W",-1.18205230623403,10.0695319181439,140.366829397947,4.22410955913851e-07,9.83922821961193e-06
"YLR325C",-1.60716944728,9.72338643038546,138.057059731961,4.5573410225876e-07,1.05047290502464e-05
"YHR025W",-1.36691624505205,8.52326263968804,137.963020639046,4.5715671716627e-07,1.05047290502464e-05
"YHR068W",-0.996813939637064,8.83473207438706,137.955246187177,4.5727454731504e-07,1.05047290502464e-05
"YBR062C",1.09534066930009,5.62815053466729,137.078175579696,4.70809919285838e-07,1.07662834510661e-05
"YEL053W-A",-1.59435613252595,7.59299959191278,136.453106362713,4.80748215517815e-07,1.09435775605146e-05
"YDR461C-A",1.53723631303691,3.88008031151347,136.056568353882,4.87285369152021e-07,1.1042195152549e-05
"YHR140W",1.41700298433679,4.1146235661307,135.833274167334,4.90929037812007e-07,1.1074651447579e-05
"YKL006W",-1.89857472343413,9.67738211350669,135.418599443021,4.97761318052885e-07,1.11784245776182e-05
"YBR263W",-1.39397457363997,8.64558552666865,135.174501946752,5.01880973623755e-07,1.12206246245882e-05
"YMR260C",-1.13005065225681,8.29863762486972,134.576397518915,5.12150218692756e-07,1.13993257565037e-05
"YGL047W",0.907343629150637,5.32917821829322,133.942822691238,5.23309109069371e-07,1.15480703004326e-05
"YGL030W",-1.70970867144607,8.9470230625788,133.809109042383,5.25697757704847e-07,1.15480703004326e-05
"YLR150W",-1.8304469282016,10.4740064253818,133.806150377457,5.25750804412667e-07,1.15480703004326e-05
"YDR379C-A",2.27952346163158,4.1339098788781,133.644920010255,5.28774366153806e-07,1.15480755110252e-05
"YBR241C",0.984494469038526,5.82368842727971,133.550489044284,5.30362892878553e-07,1.15480755110252e-05
"YHR021C",-1.48800454190283,9.24060437033462,133.200118494654,5.36758732487581e-07,1.16367434298606e-05
"YFR053C",3.11677023727524,8.18531989381055,132.96513188012,5.41102029502084e-07,1.1680340360976e-05
"YER074W",-1.85417232133969,9.54945433584324,132.141500823946,5.56661775643265e-07,1.19646445168303e-05
"YLR388W",-1.4769919189039,7.66767732554231,131.801123586965,5.63249567238919e-07,1.19823559665272e-05
"YER117W",-1.56643875838845,9.71320594867302,131.760078631596,5.64050145816053e-07,1.19823559665272e-05
"YNL200C",1.35585001101163,5.89389525884324,131.728780736891,5.64663739636666e-07,1.19823559665272e-05
"YDR064W",-1.60527652263484,10.3673907047149,130.891814790234,5.81314526892941e-07,1.22836419859909e-05
"YMR202W",-0.914151196968187,8.0526706097299,130.572320859958,5.8782723068528e-07,1.23690704675289e-05
"YLR340W",-1.87051159126614,11.3050217583099,130.168215851794,5.96190985190193e-07,1.24925709365376e-05
"YLL039C",2.28905395635936,7.68750771396504,129.279959218464,6.15085587318663e-07,1.28222312350678e-05
"YHR010W",-1.8675779265256,9.64213397289196,129.189743179747,6.17044274690763e-07,1.28222312350678e-05
"YJL130C",-1.14845487307102,11.2330948758408,128.816238217681,6.25235631403814e-07,1.28951020256683e-05
"YBL087C",-1.78212358707857,9.19662367024362,128.795204305128,6.25700837108109e-07,1.28951020256683e-05
"YNL160W",2.53847565341682,9.50464846788768,128.6087909909,6.29841870423047e-07,1.29272462585189e-05
"YIL015W",-1.09032538540451,8.54818221758989,127.71780517964,6.50096576489782e-07,1.3288504714534e-05
"YLR389C",-0.78790555296332,7.23570297990709,127.053085179259,6.65720620463506e-07,1.35525563710619e-05
"YDL130W",-1.78868805088533,9.00703332571126,126.486409607817,6.79398440639809e-07,1.37750096790452e-05
"YHR193C",-1.22696516570524,8.44465180507758,125.962571496992,6.92344887271914e-07,1.39293430590751e-05
"YGR118W",-1.51653451201128,9.40346922396341,125.95343958913,6.92573167274299e-07,1.39293430590751e-05
"YMR215W",-1.24666621950609,7.73756408522822,125.506171634374,7.03867813696281e-07,1.40998800439639e-05
"YHR154W",-1.10788825484794,6.46488047819596,124.55743502463,7.28570115865156e-07,1.45365702798912e-05
"YJL190C",-1.9480915641104,10.0145030890781,124.213785795894,7.37773645798817e-07,1.46617873736527e-05
"YER003C",-0.965487634723817,8.02826673963661,123.884622480498,7.46721828462241e-07,1.47809601460036e-05
"YJL068C",0.710400962435493,6.70524819376131,123.565891970655,7.55511780179887e-07,1.48960747840192e-05
"YLR432W",-0.980234893594525,9.8902406824745,122.592644592357,7.8313255523975e-07,1.5359709582029e-05
"YMR189W",1.27383113112149,8.1590458218528,122.439760144905,7.8758155669507e-07,1.5359709582029e-05
"YGR020C",-0.852818358527851,7.30906127470278,122.417636909515,7.8822790786371e-07,1.5359709582029e-05
"YGR085C",-1.23378464846525,9.57900296886345,122.172604672242,7.95428791066758e-07,1.54399511072183e-05
"YER069W",1.19889463135919,6.97609059854093,121.892703055077,8.0375258659549e-07,1.55412855354062e-05
"YDR058C",1.08055696295471,4.6740715035787,121.21289534008,8.24480487402952e-07,1.58398938850389e-05
"YLR348C",-0.883492345653692,6.30829330488735,121.140505753054,8.26645954871428e-07,1.58398938850389e-05
"YMR246W",-1.05829007392934,10.1975171847259,121.07471077459,8.28684544305148e-07,1.58398938850389e-05
"YGR258C",1.16143824793639,6.98346419873847,120.812465407446,8.3687509815354e-07,1.59356292454484e-05
"YLR333C",-1.63593339606691,8.56481858923583,120.164178719487,8.57543254830726e-07,1.62299740564835e-05
