gene	tpm
YDR094W	38.03767
YDR095C	1.33668
YDR096W	7.59415
YDR097C	25.00902
YDR098C	95.3
YDR098C-A	102.111
YDR098C-B	21.7641
YDR099W	121.956
YDR100W	55.1483
YDR101C	134.6015
YDR102C	6.78288
YDR103W	16.507
YDR104C	6.06795
YDR105C	31.94335
YDR106W	2.85996
YDR107C	19.40677
YDR108W	13.13799
YDR109C	11.9853
YDR110W	16.0886
YDR111C	48.5549
YDR112W	0
YDR113C	11.07881
YDR114C	0.387066
YDR115W	74.9141
YDR116C	32.9843
YDR117C	26.20626
YDR118W	5.61532
YDR118W-A	3.40908
YDR119W	71.784172
YDR119W-A	1.912539
YDR120C	59.77669
YDR121W	30.1762
YDR122W	19.9403
YDR123C	11.217586
YDR124W	5.86272
YDR125C	4.26338
YDR126W	11.54350288301
YDR127W	64.0308
YDR128W	26.5914
YDR129C	104.5669
YDR130C	11.80957
YDR131C	8.08319
YDR132C	10.2887
YDR133C	167.3746
YDR135C	96.5527
YDR136C	1.21029
YDR137W	17.4755
YDR138W	16.4622
YDR139C	126.4621
YDR140W	40.8342
YDR141C	27.4307
YDR142C	15.81759
YDR143C	35.0999
YDR144C	68.3764
YDR145W	22.73719
YDR146C	15.9968
YDR147W	16.8503
YDR148C	53.1949
YDR149C	14.07
YDR150W	23.0875
YDR151C	25.7164
YDR152W	70.1097
YDR153C	22.6359
YDR154C	1935.972
YDR155C	88.0585
YDR156W	195.189
YDR157W	4.16367
YDR158W	361.038
YDR159W	14.8982
YDR160W	10.8188
YDR161W	62.7703
YDR162C	14.46266
YDR163W	11.8663
YDR164C	21.14784
YDR165W	79.4574
YDR166C	14.9579
YDR167W	17.742869
YDR168W	61.7637
YDR169C	8.03523
YDR169C-A	42.2561
YDR170C	60.7123
YDR170W-A	6.04624
YDR171W	2.34511
YDR172W	134.1894947
YDR173C	10.5891
YDR174W	149.9793
YDR175C	31.7456
YDR176W	13.38887
YDR177W	77.6775
YDR178W	17.6458674
YDR179C	3.40085
YDR179W-A	12.3154
YDR180W	15.9028
YDR181C	11.16083
YDR182W	39.7587
YDR182W-A	0.96104
YDR183C-A	0.416983
YDR183W	12.1523
YDR184C	41.0816
YDR185C	14.26837
YDR186C	15.1141
YDR187C	15.8136
YDR188W	147.1758
YDR189W	41.2117
YDR190C	81.9019
YDR191W	8.12076
YDR192C	20.10034
YDR193W	1.25111
YDR194C	85.0564
YDR194W-A	0
YDR195W	5.87683
YDR196C	31.6205
YDR197W	14.41984
YDR198C	19.94402
YDR199W	2.28499
YDR200C	10.7579
YDR201W	23.3195
YDR202C	15.67514
YDR203W	16.1056
YDR204W	26.3604
YDR205W	16.7479
YDR206W	35.5477
YDR207C	6.24369
YDR208W	25.16426
YDR209C	89.0758
YDR210C-C	4.5359
YDR210C-D	12.4825
YDR210W	34.6408
YDR210W-A	0.87829
